inventory_id,product_id,warehouse_id,stock_quantity,reorder_level,last_updated
298,60,3,430,46,2026-02-23
299,60,4,402,29,2026-03-02
300,60,5,278,23,2026-03-09
301,61,1,359,47,2026-02-16
302,61,2,224,52,2026-02-28
303,61,3,411,98,2026-02-16
304,61,4,31,92,2026-03-11
305,61,5,441,99,2026-02-26
306,62,1,39,37,2026-03-02
307,62,2,265,71,2026-03-02
308,62,3,127,86,2026-02-12
309,62,4,372,34,2026-02-22
310,62,5,374,49,2026-02-17
311,63,1,218,68,2026-03-01
312,63,2,375,81,2026-02-26
313,63,3,462,53,2026-02-27
314,63,4,334,86,2026-02-22
315,63,5,326,41,2026-02-16
316,64,1,139,65,2026-03-03
317,64,2,405,24,2026-02-22
318,64,3,410,82,2026-02-25
319,64,4,467,44,2026-02-22
320,64,5,140,49,2026-03-09
321,65,1,58,85,2026-03-08
322,65,2,177,98,2026-02-12
323,65,3,381,86,2026-02-28
324,65,4,402,65,2026-02-23
325,65,5,371,83,2026-02-24
326,66,1,270,49,2026-02-26
327,66,2,388,56,2026-02-19
328,66,3,488,25,2026-02-28
329,66,4,162,27,2026-02-14
330,66,5,129,59,2026-02-27
331,67,1,169,75,2026-02-28
332,67,2,318,71,2026-03-06
333,67,3,157,53,2026-02-12
334,67,4,415,29,2026-02-24
335,67,5,42,79,2026-02-24
336,68,1,474,36,2026-02-16
337,68,2,400,43,2026-02-21
338,68,3,400,96,2026-03-07
339,68,4,423,61,2026-02-20
340,68,5,275,37,2026-02-24
341,69,1,346,56,2026-02-13
342,69,2,154,26,2026-03-02
343,69,3,400,49,2026-02-27
344,69,4,428,86,2026-02-13
345,69,5,164,52,2026-02-19
346,70,1,23,60,2026-02-22
347,70,2,6,92,2026-02-23
348,70,3,249,42,2026-02-24
349,70,4,498,75,2026-02-24
350,70,5,68,29,2026-03-12
351,71,1,316,63,2026-02-20
352,71,2,127,99,2026-02-28
353,71,3,234,89,2026-02-22
354,71,4,227,55,2026-02-27
355,71,5,444,31,2026-03-05
356,72,1,96,79,2026-03-01
357,72,2,33,63,2026-03-03
358,72,3,156,92,2026-02-19
359,72,4,260,50,2026-02-22
360,72,5,242,35,2026-02-11
361,73,1,411,59,2026-02-24
362,73,2,44,69,2026-03-01
363,73,3,458,84,2026-03-02
364,73,4,114,69,2026-02-26
365,73,5,211,51,2026-02-16
366,74,1,400,77,2026-02-12
367,74,2,445,43,2026-02-20
368,74,3,200,93,2026-02-21
369,74,4,161,88,2026-02-17
370,74,5,285,43,2026-03-06
371,75,1,391,67,2026-03-08
372,75,2,457,53,2026-02-11
373,75,3,223,82,2026-02-28
374,75,4,378,23,2026-02-15
375,75,5,452,39,2026-02-26
376,76,1,482,21,2026-02-14
377,76,2,12,46,2026-03-11
378,76,3,117,24,2026-03-11
379,76,4,203,68,2026-02-16
380,76,5,100,99,2026-02-22
381,77,1,18,56,2026-03-08
382,77,2,244,91,2026-02-19
383,77,3,239,38,2026-03-10
384,77,4,288,29,2026-03-02
385,77,5,401,53,2026-02-28
386,78,1,226,52,2026-02-24
387,78,2,194,30,2026-02-21
388,78,3,292,31,2026-02-12
389,78,4,109,70,2026-02-26
390,78,5,310,48,2026-03-11
391,79,1,483,45,2026-02-13
392,79,2,253,95,2026-03-02
393,79,3,79,42,2026-03-03
394,79,4,427,23,2026-03-02
395,79,5,287,48,2026-03-07
396,80,1,96,89,2026-03-12
397,80,2,218,66,2026-03-05
398,80,3,4,54,2026-02-27
399,80,4,202,76,2026-02-15
400,80,5,323,57,2026-03-01
401,81,1,284,87,2026-03-09
402,81,2,161,92,2026-02-18
403,81,3,18,65,2026-02-28
404,81,4,404,100,2026-03-07
405,81,5,426,39,2026-03-01
406,82,1,359,99,2026-02-12
407,82,2,490,64,2026-03-02
408,82,3,168,62,2026-03-09
409,82,4,448,52,2026-02-16
410,82,5,323,48,2026-02-12
411,83,1,340,50,2026-02-14
412,83,2,80,59,2026-03-07
413,83,3,67,80,2026-02-14
414,83,4,35,26,2026-02-13
415,83,5,305,72,2026-02-18
416,84,1,85,33,2026-02-23
417,84,2,281,38,2026-02-11
418,84,3,10,65,2026-02-27
419,84,4,448,69,2026-02-22
420,84,5,136,65,2026-02-20
421,85,1,47,38,2026-03-06
422,85,2,344,61,2026-02-19
423,85,3,276,64,2026-02-13
424,85,4,436,44,2026-02-18
425,85,5,58,58,2026-02-13
426,86,1,193,62,2026-02-22
427,86,2,300,76,2026-03-02
428,86,3,482,73,2026-02-28
429,86,4,380,63,2026-03-03
430,86,5,110,37,2026-03-07
431,87,1,347,91,2026-02-26
432,87,2,430,85,2026-02-12
433,87,3,225,69,2026-03-07
434,87,4,448,73,2026-02-26
435,87,5,217,41,2026-03-12
436,88,1,258,34,2026-02-11
437,88,2,49,67,2026-02-28
438,88,3,356,31,2026-02-12
439,88,4,188,76,2026-03-02
440,88,5,251,75,2026-02-25
441,89,1,438,73,2026-03-07
442,89,2,337,87,2026-02-11
443,89,3,436,47,2026-03-12
444,89,4,438,61,2026-03-09
445,89,5,12,38,2026-02-24
446,90,1,34,51,2026-02-11
447,90,2,431,53,2026-03-05
448,90,3,420,40,2026-03-01
449,90,4,392,44,2026-03-11
450,90,5,493,62,2026-03-04
451,91,1,212,28,2026-03-04
452,91,2,35,38,2026-02-28
453,91,3,357,47,2026-02-18
454,91,4,5,64,2026-02-17
455,91,5,363,29,2026-03-09
456,92,1,59,69,2026-02-15
457,92,2,473,71,2026-03-07
458,92,3,153,63,2026-03-02
459,92,4,236,74,2026-02-22
460,92,5,427,63,2026-02-12
461,93,1,352,81,2026-02-20
462,93,2,224,48,2026-03-03
463,93,3,333,62,2026-02-15
464,93,4,130,25,2026-03-04
465,93,5,156,59,2026-02-18
466,94,1,145,92,2026-03-12
467,94,2,436,93,2026-03-12
468,94,3,196,34,2026-02-26
469,94,4,310,85,2026-03-07
470,94,5,369,68,2026-03-02
471,95,1,471,61,2026-02-13
472,95,2,25,48,2026-02-27
473,95,3,135,84,2026-02-27
474,95,4,139,96,2026-02-23
475,95,5,457,77,2026-03-09
476,96,1,163,88,2026-02-11
477,96,2,382,80,2026-02-25
478,96,3,76,59,2026-03-12
479,96,4,141,75,2026-02-21
480,96,5,225,98,2026-02-19
481,97,1,390,75,2026-02-20
482,97,2,147,75,2026-03-06
483,97,3,9,39,2026-03-07
484,97,4,15,90,2026-02-28
485,97,5,464,98,2026-03-01
486,98,1,269,68,2026-02-21
487,98,2,151,21,2026-03-07
488,98,3,261,50,2026-02-21
489,98,4,440,74,2026-02-24
490,98,5,358,21,2026-02-12
491,99,1,301,98,2026-03-01
492,99,2,27,72,2026-02-26
493,99,3,168,72,2026-02-13
494,99,4,290,60,2026-03-10
495,99,5,364,47,2026-02-27
496,100,1,379,84,2026-03-11
497,100,2,7,77,2026-03-05
498,100,3,76,59,2026-03-11
499,100,4,164,87,2026-02-24
500,100,5,7,78,2026-03-03
501,101,1,355,53,2026-03-12
502,101,2,240,21,2026-02-18
503,101,3,10,94,2026-03-07
504,101,4,391,76,2026-02-27
505,101,5,30,33,2026-03-12
506,102,1,334,89,2026-03-05
507,102,2,162,100,2026-02-19
508,102,3,445,35,2026-03-08
509,102,4,413,76,2026-03-09
510,102,5,11,92,2026-03-07
511,103,1,224,24,2026-03-09
512,103,2,108,23,2026-02-16
513,103,3,63,23,2026-02-13
514,103,4,330,29,2026-03-10
515,103,5,276,52,2026-02-11
516,104,1,352,41,2026-03-08
517,104,2,242,71,2026-02-28
518,104,3,423,39,2026-02-22
519,104,4,437,53,2026-03-11
520,104,5,243,45,2026-02-22
521,105,1,88,52,2026-02-27
522,105,2,172,31,2026-02-19
523,105,3,347,51,2026-03-03
524,105,4,456,31,2026-02-26
525,105,5,2,74,2026-02-28
526,106,1,446,56,2026-02-15
527,106,2,411,84,2026-02-14
528,106,3,293,85,2026-02-24
529,106,4,62,37,2026-02-23
530,106,5,314,30,2026-02-23
531,107,1,151,65,2026-02-13
532,107,2,216,59,2026-03-07
533,107,3,448,41,2026-03-08
534,107,4,102,44,2026-03-09
535,107,5,224,47,2026-02-26
536,108,1,343,68,2026-03-09
537,108,2,52,57,2026-02-14
538,108,3,431,57,2026-02-18
539,108,4,67,47,2026-02-27
540,108,5,465,25,2026-03-09
541,109,1,337,48,2026-03-04
542,109,2,114,84,2026-02-13
543,109,3,373,53,2026-02-14
544,109,4,97,91,2026-03-09
545,109,5,182,35,2026-02-24
546,110,1,376,43,2026-03-10
547,110,2,198,37,2026-02-17
548,110,3,368,86,2026-03-10
549,110,4,285,88,2026-02-24
550,110,5,251,88,2026-03-02
551,111,1,201,41,2026-03-09
552,111,2,371,96,2026-02-12
553,111,3,421,95,2026-03-09
554,111,4,445,20,2026-03-04
555,111,5,52,56,2026-03-09
556,112,1,427,44,2026-02-28
557,112,2,75,70,2026-03-02
558,112,3,165,36,2026-03-02
559,112,4,237,95,2026-03-01
560,112,5,126,68,2026-03-12
561,113,1,182,66,2026-03-12
562,113,2,405,100,2026-02-15
563,113,3,484,29,2026-03-10
564,113,4,405,65,2026-03-07
565,113,5,341,69,2026-03-06
566,114,1,206,63,2026-02-16
567,114,2,481,92,2026-02-26
568,114,3,230,35,2026-03-10
569,114,4,276,24,2026-03-02
570,114,5,329,64,2026-03-02
571,115,1,404,67,2026-02-27
572,115,2,125,20,2026-03-04
573,115,3,107,86,2026-03-08
574,115,4,193,44,2026-03-09
575,115,5,358,26,2026-02-13
576,116,1,476,46,2026-03-12
577,116,2,226,83,2026-03-10
578,116,3,23,88,2026-02-11
579,116,4,467,74,2026-02-14
580,116,5,121,99,2026-03-10
581,117,1,404,24,2026-02-11
582,117,2,333,49,2026-03-06
583,117,3,177,84,2026-02-15
584,117,4,182,57,2026-02-28
585,117,5,436,94,2026-02-24
586,118,1,0,43,2026-03-12
587,118,2,215,51,2026-02-22
588,118,3,144,78,2026-02-13
589,118,4,235,70,2026-02-24
590,118,5,159,43,2026-02-20
591,119,1,339,41,2026-03-04
592,119,2,409,78,2026-03-12
593,119,3,487,38,2026-03-02
594,119,4,201,46,2026-02-11
595,119,5,112,52,2026-02-11
596,120,1,483,55,2026-02-17
597,120,2,385,69,2026-02-21
598,120,3,219,85,2026-03-03
599,120,4,6,74,2026-03-04
600,120,5,425,30,2026-02-19
601,121,1,114,54,2026-02-15
602,121,2,397,49,2026-02-20
603,121,3,116,35,2026-02-24
604,121,4,409,92,2026-02-17
605,121,5,237,63,2026-03-10
606,122,1,158,91,2026-03-09
607,122,2,240,94,2026-03-04
608,122,3,469,41,2026-02-18
609,122,4,196,68,2026-02-19
610,122,5,418,66,2026-02-21
611,123,1,376,72,2026-02-19
612,123,2,304,90,2026-02-22
613,123,3,70,45,2026-02-23
614,123,4,272,86,2026-03-02
615,123,5,463,65,2026-02-17
616,124,1,225,71,2026-03-08
617,124,2,71,99,2026-03-12
618,124,3,298,25,2026-02-14
619,124,4,244,26,2026-03-09
620,124,5,35,27,2026-02-26
621,125,1,147,75,2026-03-04
622,125,2,149,49,2026-02-11
623,125,3,185,77,2026-03-04
624,125,4,71,81,2026-03-01
625,125,5,62,26,2026-02-20
626,126,1,32,57,2026-02-24
627,126,2,93,81,2026-03-03
628,126,3,242,90,2026-02-20
629,126,4,189,42,2026-02-18
630,126,5,49,35,2026-02-22
631,127,1,456,98,2026-02-15
632,127,2,177,22,2026-03-03
633,127,3,450,53,2026-02-17
634,127,4,366,72,2026-03-08
635,127,5,291,47,2026-02-28
636,128,1,41,21,2026-02-23
637,128,2,308,29,2026-02-19
638,128,3,139,91,2026-03-06
639,128,4,415,64,2026-02-19
640,128,5,235,57,2026-03-12
641,129,1,214,38,2026-03-05
642,129,2,419,57,2026-03-11
643,129,3,465,54,2026-03-01
644,129,4,264,35,2026-03-07
645,129,5,302,62,2026-03-04
646,130,1,132,59,2026-02-22
647,130,2,349,49,2026-02-23
648,130,3,252,22,2026-02-18
649,130,4,336,45,2026-03-02
650,130,5,50,48,2026-03-04
651,131,1,60,42,2026-03-12
652,131,2,258,42,2026-03-05
653,131,3,215,99,2026-02-25
654,131,4,169,91,2026-02-24
655,131,5,410,90,2026-02-26
656,132,1,206,67,2026-02-25
657,132,2,362,36,2026-03-02
658,132,3,71,51,2026-02-25
659,132,4,468,27,2026-03-03
660,132,5,172,54,2026-03-01
661,133,1,313,23,2026-02-15
662,133,2,169,28,2026-02-19
663,133,3,182,54,2026-02-23
664,133,4,304,83,2026-03-01
665,133,5,297,31,2026-03-09
666,134,1,442,60,2026-03-06
667,134,2,216,37,2026-02-25
668,134,3,244,60,2026-03-08
669,134,4,442,72,2026-02-27
670,134,5,237,26,2026-02-24
671,135,1,365,44,2026-03-07
672,135,2,82,85,2026-03-01
673,135,3,319,63,2026-02-13
674,135,4,36,74,2026-02-22
675,135,5,337,38,2026-03-03
676,136,1,406,99,2026-02-23
677,136,2,339,45,2026-02-15
678,136,3,288,43,2026-02-18
679,136,4,24,78,2026-02-28
680,136,5,217,83,2026-03-11
681,137,1,486,94,2026-03-04
682,137,2,117,41,2026-02-25
683,137,3,318,23,2026-02-17
684,137,4,378,95,2026-02-22
685,137,5,203,23,2026-03-12
686,138,1,307,45,2026-03-03
687,138,2,21,76,2026-02-17
688,138,3,103,29,2026-02-25
689,138,4,217,84,2026-03-10
690,138,5,44,43,2026-03-10
691,139,1,305,40,2026-02-22
692,139,2,10,26,2026-02-13
693,139,3,128,45,2026-02-11
694,139,4,255,48,2026-02-23
695,139,5,246,34,2026-02-14
696,140,1,240,89,2026-02-23
697,140,2,96,65,2026-02-22
698,140,3,136,56,2026-03-02
699,140,4,230,99,2026-02-17
700,140,5,137,20,2026-02-25
701,141,1,459,41,2026-03-05
702,141,2,6,79,2026-02-23
703,141,3,322,69,2026-03-01
704,141,4,319,84,2026-02-18
705,141,5,390,91,2026-02-26
706,142,1,450,43,2026-03-03
707,142,2,35,24,2026-02-19
708,142,3,323,45,2026-02-22
709,142,4,323,47,2026-03-11
710,142,5,53,37,2026-02-25
711,143,1,252,63,2026-02-27
712,143,2,268,91,2026-02-17
713,143,3,482,45,2026-02-20
714,143,4,196,73,2026-02-14
715,143,5,192,56,2026-02-14
716,144,1,118,28,2026-02-23
717,144,2,65,62,2026-03-04
718,144,3,458,30,2026-03-01
719,144,4,67,24,2026-03-11
720,144,5,426,45,2026-02-19
721,145,1,472,50,2026-03-02
722,145,2,301,41,2026-02-21
723,145,3,105,50,2026-03-09
724,145,4,2,81,2026-03-07
725,145,5,398,61,2026-03-01
726,146,1,460,76,2026-02-19
727,146,2,62,41,2026-03-02
728,146,3,401,77,2026-02-13
729,146,4,193,37,2026-02-11
730,146,5,260,81,2026-02-24
731,147,1,232,44,2026-02-12
732,147,2,260,100,2026-03-11
733,147,3,201,82,2026-02-15
734,147,4,234,35,2026-02-12
735,147,5,470,65,2026-02-11
736,148,1,291,44,2026-03-03
737,148,2,335,74,2026-03-09
738,148,3,441,45,2026-03-01
739,148,4,64,52,2026-02-17
740,148,5,136,22,2026-03-05
741,149,1,328,30,2026-02-15
742,149,2,417,52,2026-03-08
743,149,3,180,53,2026-02-19
744,149,4,405,43,2026-02-19
745,149,5,472,51,2026-03-09
746,150,1,260,25,2026-02-28
747,150,2,235,43,2026-03-02
748,150,3,105,83,2026-02-13
749,150,4,64,32,2026-03-03
750,150,5,267,29,2026-03-10
751,151,1,11,70,2026-02-14
752,151,2,481,54,2026-02-23
753,151,3,50,70,2026-02-27
754,151,4,151,81,2026-03-12
755,151,5,201,61,2026-03-10
756,152,1,425,98,2026-02-12
757,152,2,386,75,2026-02-25
758,152,3,426,23,2026-02-26
759,152,4,306,74,2026-02-25
760,152,5,192,53,2026-02-26
761,153,1,62,73,2026-03-08
762,153,2,65,67,2026-02-20
763,153,3,159,82,2026-03-03
764,153,4,99,21,2026-03-06
765,153,5,222,56,2026-03-01
766,154,1,111,30,2026-03-09
767,154,2,387,65,2026-02-17
768,154,3,261,90,2026-02-21
769,154,4,229,66,2026-02-13
770,154,5,104,91,2026-02-20
771,155,1,298,30,2026-02-26
772,155,2,109,49,2026-02-12
773,155,3,429,21,2026-02-23
774,155,4,103,96,2026-03-08
775,155,5,276,35,2026-03-04
776,156,1,44,36,2026-03-01
777,156,2,314,76,2026-02-28
778,156,3,14,49,2026-02-22
779,156,4,100,27,2026-02-20
780,156,5,163,71,2026-02-15
781,157,1,452,70,2026-02-23
782,157,2,181,91,2026-02-17
783,157,3,108,48,2026-02-13
784,157,4,219,45,2026-02-20
785,157,5,44,93,2026-03-12
786,158,1,45,69,2026-02-12
787,158,2,211,36,2026-02-23
788,158,3,97,96,2026-02-28
789,158,4,476,51,2026-02-24
790,158,5,386,49,2026-02-19
791,159,1,273,93,2026-03-10
792,159,2,110,36,2026-03-06
793,159,3,332,88,2026-02-19
794,159,4,203,75,2026-03-09
795,159,5,72,34,2026-02-19
796,160,1,303,47,2026-03-06
797,160,2,382,47,2026-03-11
798,160,3,253,88,2026-02-13
799,160,4,51,73,2026-02-15
800,160,5,468,45,2026-03-03
801,161,1,305,20,2026-03-07
802,161,2,89,66,2026-03-01
803,161,3,467,52,2026-03-11
804,161,4,319,76,2026-02-26
805,161,5,147,74,2026-03-03
806,162,1,460,94,2026-03-10
807,162,2,281,88,2026-02-11
808,162,3,0,36,2026-02-15
809,162,4,401,30,2026-03-02
810,162,5,60,65,2026-03-04
811,163,1,307,67,2026-03-02
812,163,2,251,26,2026-02-12
813,163,3,444,79,2026-02-21
814,163,4,186,43,2026-03-12
815,163,5,480,20,2026-02-16
816,164,1,411,52,2026-03-07
817,164,2,325,27,2026-03-02
818,164,3,180,50,2026-02-12
819,164,4,258,65,2026-02-18
